Status,Campaign ID,Program,Domain,Payout,Type,Deeplink allowed,Affiliate link
Pre-approved (open),40863,Todaytix,todaytix.com,1.05%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.todaytix.com%2F
Pre-approved (open),5222,Tomaz Shoes,tomaz.my,3.15%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Ftomaz.my%2F
Pre-approved (open),5355,Tommy Hilfiger,tommy.com,1.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fusa.tommy.com%2Fen%2F
Pre-approved (open),54164,Tonic Living,tonicliving.com,3.75%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.tonicliving.com
Pre-approved (open),20195,Toolstoday,toolstoday.com,2.63%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.toolstoday.com
Pre-approved (open),4533,TopResume,topresume.com,3.56%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.topresume.com%2F
Pre-approved (open),54185,TORRO,torro.co.uk,7.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=http%3A%2F%2Fwww.torro.co.uk%2F
Pre-approved (open),54183,Torro AU,torro-au.com,7.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Ftorro-au.com%2F%3Fsrsltid%3DAfmBOorJNx6b8FQ03BYnyBBM85VtycibAOTkpry2nE2uAQ1mP8DH-CUK
Pre-approved (open),27481,TORRO USA,torrousa.com,7.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Ftorrousa.com
Pre-approved (open),7469,Total Image MY - CPS,totalimage.com.my,4.2%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Ftotalimage.com.my%2F
Pre-approved (open),39911,Toucan Cocktails,toucancocktails.com,3.75%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Ftoucancocktails.com
Pre-approved (open),6563,Touchstone Essentials,thegoodinside.com,0.38%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Faff.thegoodinside.com%2F
Pre-approved (open),4965,Toys Central,toycentral.com.hk,4.35%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Ftoycentral.com.hk%2F
Pre-approved (open),39715,Tradifyhq,tradifyhq.com,37.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.tradifyhq.com%2F
Pre-approved (open),27190,Trafalgar,trafalgar.com,2.63%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.trafalgar.com%2F
Pre-approved (open),13356,Trainual,trainual.com,7.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Ftrainual.com%2F
Pre-approved (open),12163,Travel Code,travel-code.com,16210.1 INR,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Ftravel-code.com%2F
Pre-approved (open),37699,Travelocity Partnerships CA,travelocity.ca,3%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.travelocity.ca%2F
Pre-approved (open),11178,Traveloka Australia,traveloka.com,3.41%,CPS,No,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.traveloka.com%2Fen-au
Pre-approved (open),36263,Traveloka India,traveloka.com,2.36%,CPS,No,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.traveloka.com%2Fen-en
Pre-approved (open),8599,Traveloka Indonesia,traveloka.com,0.27%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.traveloka.com%2Fid-id
Pre-approved (open),11208,Traveloka JP - CPS,traveloka.com,3.41%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.traveloka.com%2Fja-jp
Pre-approved (open),9611,Traveloka Malaysia,traveloka.com,2.59%,CPS,No,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.traveloka.com%2Fms-my
Pre-approved (open),6338,Traveloka Singapore,traveloka.com,3.15%,CPS,No,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.traveloka.com%2Fen-sg
Pre-approved (open),9619,Traveloka Thailand,traveloka.com,2.6%,CPS,No,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.traveloka.com%2Fth-th
Pre-approved (open),5416,Travelstart,travelstart.co.za,490.91 INR,CPS,No,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.travelstart.co.za%2F
Pre-approved (open),7137,Travis Perkins UK,travisperkins.co.uk,1.8%,CPS,No,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.travisperkins.co.uk%2F
